id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.6,91,0,2.271062,0,1611079748,779584,1611079748779,1611079748916,137,0
1,30.6,90,0,1.953602,0,1611079760,57586,1611079760057,1611079760189,132,5
2,30.6,90,0,2.808303,0,1611079771,334579,1611079771334,1611079771466,132,0
3,30.6,90,0,2.735043,0,1611079782,611585,1611079782611,1611079782742,131,1
4,30.6,90,0,2.637363,0,1611079793,888579,1611079793888,1611079794019,131,0
5,30.6,90,0,2.735043,0,1611079805,165585,1611079805165,1611079805297,132,1
6,30.5,90,0,2.808303,0,1611079816,442579,1611079816442,1611079816572,130,2
7,30.5,90,0,2.393162,0,1611079827,719584,1611079827719,1611079827849,130,0
8,30.4,90,0,2.612943,0,1611079838,996578,1611079838996,1611079839128,132,2
9,30.4,90,0,1.831502,0,1611079850,273584,1611079850273,1611079850401,128,4
10,30.4,91,0,2.075702,0,1611079861,550578,1611079861550,1611079861678,128,0
11,30.5,91,0,1.953602,0,1611079872,827583,1611079872827,1611079872955,128,0
12,30.4,91,0,2.661783,0,1611079884,104577,1611079884104,1611079884233,129,1
13,30.4,91,0,2.466423,0,1611079895,381583,1611079895381,1611079895507,126,3
14,30.4,90,0,0.781441,0,1611079906,658581,1611079906658,1611079906784,126,0
