s,us,chegada,envio,delay_ms,jitter_ms
1617556271,211000,1617556271220,1617556271211,9,0
1617556271,221000,1617556271231,1617556271221,10,1
1617556271,222000,1617556271238,1617556271222,16,6
1617556271,223000,1617556271238,1617556271223,15,1
1617556271,225000,1617556271248,1617556271225,23,8
1617556271,227000,1617556271249,1617556271227,22,1
1617556271,229000,1617556271250,1617556271229,21,1
1617556271,232000,1617556271250,1617556271232,18,3
1617556271,234000,1617556271251,1617556271234,17,1
1617556271,236000,1617556271251,1617556271236,15,2
1617556271,238000,1617556271260,1617556271238,22,7
1617556271,24000,1617556271261,1617556271240,21,1
1617556271,243000,1617556271261,1617556271243,18,3
1617556271,249000,1617556271261,1617556271249,12,6
1617556271,252000,1617556271264,1617556271252,12,0
1617556271,254000,1617556271284,1617556271254,30,18
1617556271,257000,1617556271292,1617556271257,35,5
1617556271,26000,1617556271293,1617556271260,33,2
1617556271,264000,1617556271293,1617556271264,29,4
1617556271,266000,1617556271293,1617556271266,27,2
1617556271,268000,1617556271293,1617556271268,25,2
1617556271,27000,1617556271293,1617556271270,23,2
1617556271,271000,1617556271294,1617556271271,23,0
1617556271,273000,1617556271294,1617556271273,21,2
1617556271,275000,1617556271294,1617556271275,19,2
1617556271,277000,1617556271294,1617556271277,17,2
1617556271,281000,1617556271300,1617556271281,19,2
1617556271,284000,1617556271301,1617556271284,17,2
1617556271,285000,1617556271301,1617556271285,16,1
1617556271,288000,1617556271306,1617556271288,18,2
1617556271,29000,1617556271306,1617556271290,16,2
1617556271,293000,1617556271307,1617556271293,14,2
1617556271,298000,1617556271308,1617556271298,10,4
1617556271,3000,1617556271346,1617556271300,46,36
1617556271,302000,1617556271398,1617556271302,96,50
1617556271,396000,1617556271425,1617556271396,29,67
1617556271,398000,1617556271436,1617556271398,38,9
1617556271,4000,1617556271436,1617556271400,36,2
1617556271,401000,1617556271436,1617556271401,35,1
1617556271,403000,1617556271437,1617556271403,34,1
1617556271,404000,1617556271437,1617556271404,33,1
1617556271,406000,1617556271437,1617556271406,31,2
1617556271,407000,1617556271437,1617556271407,30,1
1617556271,409000,1617556271437,1617556271409,28,2
1617556271,41000,1617556271437,1617556271410,27,1
1617556271,412000,1617556271438,1617556271412,26,1
1617556271,414000,1617556271438,1617556271414,24,2
1617556271,416000,1617556271438,1617556271416,22,2
1617556271,417000,1617556271438,1617556271417,21,1
1617556271,419000,1617556271438,1617556271419,19,2
1617556271,421000,1617556271443,1617556271421,22,3
1617556271,422000,1617556271444,1617556271422,22,0
1617556271,424000,1617556271444,1617556271424,20,2
1617556271,426000,1617556271446,1617556271426,20,0
1617556271,427000,1617556271446,1617556271427,19,1
1617556271,429000,1617556271447,1617556271429,18,1
1617556271,431000,1617556271447,1617556271431,16,2
1617556271,432000,1617556271447,1617556271432,15,1
1617556271,434000,1617556271715,1617556271434,281,266
1617556271,711000,1617556271719,1617556271711,8,273
1617556271,713000,1617556271726,1617556271713,13,5
1617556271,715000,1617556271726,1617556271715,11,2
1617556271,717000,1617556271727,1617556271717,10,1
1617556271,72000,1617556271736,1617556271720,16,6
1617556271,723000,1617556271736,1617556271723,13,3
1617556271,725000,1617556271736,1617556271725,11,2
