id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.5,94,0,0,0,1611088974,709469,1611088974709,1611088974855,146,0
1,29.6,94,0,0,0,1611088988,741466,1611088988741,1611088988866,125,21
2,29.6,94,0,0,0,1611089002,772466,1611089002772,1611089002894,122,3
3,29.6,94,0,0,0,1611089016,803466,1611089016803,1611089016922,119,3
4,29.6,94,0,0,0,1611089030,834466,1611089030834,1611089030953,119,0
5,29.6,94,0,0,0,1611089044,865465,1611089044865,1611089044982,117,2
6,29.6,94,0,0,0,1611089058,896465,1611089058896,1611089059010,114,3
7,29.6,94,0,0,0,1611089072,928465,1611089072928,1611089073039,111,3
8,29.6,94,0,0,0,1611089086,959465,1611089086959,1611089087067,108,3
9,29.6,94,0,0,0,1611089100,990464,1611089100990,1611089101095,105,3
10,29.6,94,0,0,0,1611089115,21464,1611089115021,1611089115124,103,2
11,29.6,94,0,0,0,1611089129,52464,1611089129052,1611089129153,101,2
12,29.6,94,0,0,0,1611089143,83462,1611089143083,1611089143182,99,2
13,29.700001,94,0,0,0,1611089157,114462,1611089157114,1611089157212,98,1
14,29.6,94,0,0,0,1611089171,145462,1611089171145,1611089171238,93,5
