id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.5,95,0,0,0,1611096016,105557,1611096016105,1611096016216,111,0
1,29.5,95,0,0,0,1611096028,391553,1611096028391,1611096028496,105,6
2,29.5,95,0,0,0,1611096040,676553,1611096040676,1611096040785,109,4
3,29.5,95,0,0,0,1611096052,962552,1611096052962,1611096053074,112,3
4,29.6,95,0,0,0,1611096065,246552,1611096065246,1611096065364,118,6
5,29.5,95,0,0,0,1611096077,529552,1611096077529,1611096077648,119,1
6,29.5,95,0,0,0,1611096089,812552,1611096089812,1611096089934,122,3
7,29.5,95,0,0,0,1611096102,94551,1611096102094,1611096102224,130,8
8,29.5,95,0,0,0,1611096114,378551,1611096114378,1611096114513,135,5
9,29.5,95,0,0,0,1611096126,663551,1611096126663,1611096126800,137,2
10,29.5,95,0,0,0,1611096138,948551,1611096138948,1611096139088,140,3
11,29.5,95,0,0,0,1611096151,233550,1611096151233,1611096151376,143,3
12,29.5,95,0,0,0,1611096163,518550,1611096163518,1611096163664,146,3
13,29.5,95,0,0,0,1611096175,803550,1611096175803,1611096175960,157,11
14,29.5,95,0,0,0,1611096188,88550,1611096188088,1611096188239,151,6
