id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.200001,95,0,11.477411,0,1611159656,904748,1611159656904,1611159657011,107,0
1,29.200001,95,0,11.892551,0,1611159673,194744,1611159673194,1611159673284,90,17
2,29.200001,95,0,14.065934,0,1611159689,483744,1611159689483,1611159689565,82,8
3,29.4,95,0,11.379731,0,1611159705,772743,1611159705772,1611159705847,75,7
4,29.200001,95,0,14.627595,0,1611159722,62743,1611159722062,1611159722129,67,8
5,29.299999,95,0,13.406593,0,1611159738,351743,1611159738351,1611159738409,58,9
6,29.4,95,0,15.164835,0,1611159754,640742,1611159754640,1611159754691,51,7
7,29.4,95,0,14.871795,0,1611159770,929742,1611159770929,1611159771076,147,96
8,29.4,95,0,14.896214,0,1611159787,218742,1611159787218,1611159787356,138,9
9,29.4,95,0,14.749695,0,1611159803,508740,1611159803508,1611159803637,129,9
10,29.4,95,0,14.578754,0,1611159819,797740,1611159819797,1611159819937,140,11
11,29.4,95,0,14.529915,0,1611159836,85740,1611159836085,1611159836201,116,24
12,29.4,95,0,15.018315,0,1611159852,371739,1611159852371,1611159852483,112,4
13,29.4,95,0,14.774115,0,1611159868,660739,1611159868660,1611159868764,104,8
14,29.4,95,0,14.969475,0,1611159884,947739,1611159884947,1611159885058,111,7
