id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.5,90,0,3.7851,0,1611078033,544104,1611078033544,1611078033765,221,0
1,30.6,90,0,3.8339,0,1611078045,72105,1611078045072,1611078045287,215,6
2,30.6,90,0,3.7363,0,1611078056,599099,1611078056599,1611078056814,215,0
3,30.6,90,0,3.7851,0,1611078068,126105,1611078068126,1611078068340,214,1
4,30.5,90,0,3.7851,0,1611078079,653099,1611078079653,1611078079869,216,2
5,30.4,90,0,3.8339,0,1611078091,180104,1611078091180,1611078091393,213,3
6,30.4,90,0,3.8339,0,1611078102,707098,1611078102707,1611078102921,214,1
7,30.4,91,0,3.1258,0,1611078114,235104,1611078114235,1611078114449,214,0
8,30.4,91,0,2.906,0,1611078125,762098,1611078125762,1611078125974,212,2
9,30.5,91,0,3.8584,0,1611078137,289104,1611078137289,1611078137501,212,0
10,30.4,91,0,3.8584,0,1611078148,816097,1611078148816,1611078149026,210,2
11,30.4,91,0,3.8095,0,1611078160,343103,1611078160343,1611078160554,211,1
12,30.4,91,0,3.8584,0,1611078171,870096,1611078171870,1611078172082,212,1
13,30.4,91,0,3.7607,0,1611078183,397110,1611078183397,1611078183608,211,1
14,30.4,91,0,3.8339,0,1611078194,924095,1611078194924,1611078195134,210,1
