id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.5,94,0,0,0,1611088975,712473,1611088975712,1611088975862,150,0
1,29.6,94,0,0,0,1611088989,743472,1611088989743,1611088989893,150,0
2,29.6,94,0,0,0,1611089003,774472,1611089003774,1611089003943,169,19
3,29.6,94,0,0,0,1611089017,804472,1611089017804,1611089017946,142,27
4,29.6,94,0,0,0,1611089031,836472,1611089031836,1611089031976,140,2
5,29.6,94,0,0,0,1611089045,867471,1611089045867,1611089046005,138,2
6,29.6,94,0,0,0,1611089059,898471,1611089059898,1611089060034,136,2
7,29.6,94,0,0,0,1611089073,930471,1611089073930,1611089074062,132,4
8,29.6,94,0,0,0,1611089087,961470,1611089087961,1611089088091,130,2
9,29.6,94,0,0,0,1611089101,992470,1611089101992,1611089102120,128,2
10,29.6,94,0,0,0,1611089116,23470,1611089116023,1611089116148,125,3
11,29.6,94,0,0,0,1611089130,54470,1611089130054,1611089130176,122,3
12,29.6,94,0,0,0,1611089144,85469,1611089144085,1611089144234,149,27
13,29.700001,94,0,0,0,1611089158,116468,1611089158116,1611089158234,118,31
14,29.6,94,0,0,0,1611089172,147469,1611089172147,1611089172263,116,2
