id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.7,95,0,0,0,1611092415,925002,1611092415925,1611092416171,246,0
1,29.7,95,0,0,0,1611092431,960997,1611092431960,1611092432241,281,35
2,29.7,95,0,0,0,1611092447,995997,1611092447995,1611092448215,220,61
3,29.8,95,0,0,0,1611092464,30997,1611092464030,1611092464292,262,42
4,29.8,95,0,0,0,1611092480,65997,1611092480065,1611092480368,303,41
5,29.9,95,0,0,0,1611092496,101996,1611092496101,1611092496343,242,61
6,29.8,95,0,0,0,1611092512,136996,1611092512136,1611092512419,283,41
7,29.8,95,0,0,0,1611092528,170996,1611092528170,1611092528393,223,60
8,29.7,95,0,0,0,1611092544,205995,1611092544205,1611092544469,264,41
9,29.7,95,0,0,0,1611092560,241995,1611092560241,1611092560445,204,60
10,29.6,95,0,0,0,1611092576,276995,1611092576276,1611092576523,247,43
11,29.6,95,0,0,0,1611092592,310994,1611092592310,1611092592597,287,40
12,29.8,95,0,0,0,1611092608,345994,1611092608345,1611092608572,227,60
13,29.7,95,0,0,0,1611092624,380994,1611092624380,1611092624648,268,41
14,29.8,95,0,0,0,1611092640,415993,1611092640415,1611092640622,207,61
