id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,28.7,95,0,13.7241,0,1611155810,860468,1611155810860,1611155811102,242,0
1,28.7,95,0,13.6752,0,1611155828,900463,1611155828900,1611155829014,114,128
2,28.6,95,0,13.2112,0,1611155846,939463,1611155846939,1611155847134,195,81
3,28.7,95,0,12.8938,0,1611155864,980463,1611155864980,1611155865165,185,10
4,28.7,95,0,12.4542,0,1611155883,19462,1611155883019,1611155883183,164,21
5,28.7,95,0,12.381,0,1611155901,58462,1611155901058,1611155901205,147,17
6,28.7,95,0,12.21,0,1611155919,97461,1611155919097,1611155919227,130,17
7,28.7,95,0,12.8938,0,1611155937,137460,1611155937137,1611155937250,113,17
8,28.7,95,0,12.2833,0,1611155955,176460,1611155955176,1611155955374,198,85
9,28.7,95,0,12.3565,0,1611155973,215460,1611155973215,1611155973396,181,17
10,28.8,95,0,12.7717,0,1611155991,254459,1611155991254,1611155991418,164,17
11,28.8,95,0,12.2344,0,1611156009,293459,1611156009293,1611156009441,148,16
12,28.8,95,0,12.1856,0,1611156027,332459,1611156027332,1611156027482,150,2
13,28.7,95,0,12.0391,0,1611156045,371458,1611156045371,1611156045485,114,36
14,28.7,95,0,13.4554,0,1611156063,410458,1611156063410,1611156063610,200,86
