id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,28.700001,95,0,0,0,1611176388,744102,1611176388744,1611176388923,179,0
1,28.700001,95,0,0,0,1611176409,790101,1611176409790,1611176409917,127,52
2,28.9,95,0,0,0,1611176430,835101,1611176430835,1611176431008,173,46
3,28.9,95,0,0,0,1611176451,880100,1611176451880,1611176452102,222,49
4,28.9,95,0,0,0,1611176472,924100,1611176472924,1611176473094,170,52
5,29,95,0,0,0,1611176493,969100,1611176493969,1611176494087,118,52
6,28.9,95,0,0,0,1611176515,15099,1611176515015,1611176515180,165,47
7,29,95,0,0,0,1611176536,59099,1611176536059,1611176536270,211,46
8,29,95,0,0,0,1611176557,104098,1611176557104,1611176557207,103,108
9,29,95,0,0,0,1611176578,149098,1611176578149,1611176578361,212,109
10,28.9,95,0,0,0,1611176599,194097,1611176599194,1611176599351,157,55
11,29,95,0,0,0,1611176620,239097,1611176620239,1611176620454,215,58
12,29,95,0,0,0,1611176641,285096,1611176641285,1611176641440,155,60
13,29,95,0,0,0,1611176662,330095,1611176662330,1611176662532,202,47
14,29,95,0,0,0,1611176683,375095,1611176683375,1611176683524,149,53
