s,us,a,chegada,envio,delay_ms,jitter_ms
1616294960,168473,1234abcdefghijklmnopqrstuvwxyz,1616294960194,1616294960168,26,0
1616294960,271469,1234abcdefghijklmnopqrstuvwxyz,1616294960297,1616294960271,26,0
1616294960,373469,1234abcdefghijklmnopqrstuvwxyz,1616294960392,1616294960373,19,7
1616294960,475469,1234abcdefghijklmnopqrstuvwxyz,1616294960496,1616294960475,21,2
1616294960,577469,1234abcdefghijklmnopqrstuvwxyz,1616294960596,1616294960577,19,2
1616294960,679469,1234abcdefghijklmnopqrstuvwxyz,1616294960697,1616294960679,18,1
1616294960,781469,1234abcdefghijklmnopqrstuvwxyz,1616294960008,1616294960781,773,755
1616294960,883469,1234abcdefghijklmnopqrstuvwxyz,1616294960009,1616294960883,874,101
1616294960,985469,1234abcdefghijklmnopqrstuvwxyz,1616294961003,1616294960985,18,856
1616294961,87469,1234abcdefghijklmnopqrstuvwxyz,1616294961106,1616294961087,19,1
1616294961,189469,1234abcdefghijklmnopqrstuvwxyz,1616294961206,1616294961189,17,2
1616294961,291469,1234abcdefghijklmnopqrstuvwxyz,1616294961312,1616294961291,21,4
1616294961,393469,1234abcdefghijklmnopqrstuvwxyz,1616294961411,1616294961393,18,3
1616294961,495469,1234abcdefghijklmnopqrstuvwxyz,1616294961514,1616294961495,19,1
1616294961,597469,1234abcdefghijklmnopqrstuvwxyz,1616294961616,1616294961597,19,0
1616294961,699469,1234abcdefghijklmnopqrstuvwxyz,1616294961717,1616294961699,18,1
1616294961,801469,1234abcdefghijklmnopqrstuvwxyz,1616294961822,1616294961801,21,3
1616294961,903469,1234abcdefghijklmnopqrstuvwxyz,1616294961924,1616294961903,21,0
1616294962,5469,1234abcdefghijklmnopqrstuvwxyz,1616294962024,1616294962005,19,2
1616294962,107469,1234abcdefghijklmnopqrstuvwxyz,1616294962013,1616294962107,94,75
1616294962,209469,1234abcdefghijklmnopqrstuvwxyz,1616294962228,1616294962209,19,75
1616294962,311469,1234abcdefghijklmnopqrstuvwxyz,1616294962332,1616294962311,21,2
1616294962,413469,1234abcdefghijklmnopqrstuvwxyz,1616294962432,1616294962413,19,2
1616294962,515469,1234abcdefghijklmnopqrstuvwxyz,1616294962533,1616294962515,18,1
1616294962,617469,1234abcdefghijklmnopqrstuvwxyz,1616294962635,1616294962617,18,0
