s,us,chegada,envio,delay_ms,jitter_ms
1616391388,797475,1616391388876,1616391388797,79,0
1616391389,299471,1616391389384,1616391389299,85,6
1616391389,801471,1616391389896,1616391389801,95,10
1616391390,303471,1616391390404,1616391390303,101,6
1616391390,805471,1616391390092,1616391390805,0,101
1616391391,307471,1616391391422,1616391391307,115,115
1616391391,808471,1616391391828,1616391391808,20,95
1616391392,310471,1616391392353,1616391392310,43,23
1616391392,812471,1616391392866,1616391392812,54,11
1616391393,314471,1616391393336,1616391393314,22,32
1616391393,816471,1616391393089,1616391393816,0,22
1616391394,318471,1616391394402,1616391394318,84,84
1616391394,820471,1616391394914,1616391394820,94,10
1616391395,322471,1616391395428,1616391395322,106,12
1616391395,824471,1616391395938,1616391395824,114,8
1616391396,326471,1616391396449,1616391396326,123,9
1616391396,827471,1616391396962,1616391396827,135,12
1616391397,329471,1616391397371,1616391397329,42,93
1616391397,831471,1616391397883,1616391397831,52,10
1616391398,333471,1616391398395,1616391398333,62,10
1616391398,835471,1616391398907,1616391398835,72,10
1616391399,337471,1616391399418,1616391399337,81,9
1616391399,839471,1616391399931,1616391399839,92,11
1616391400,341471,1616391400443,1616391400341,102,10
1616391400,843471,1616391400955,1616391400843,112,10
1616391401,345471,1616391401467,1616391401345,122,10
1616391401,848471,1616391401979,1616391401848,131,9
1616391402,350471,1616391402389,1616391402350,39,92
1616391402,852471,1616391402903,1616391402852,51,12
1616391403,354471,1616391403412,1616391403354,58,7
1616391403,856471,1616391403924,1616391403856,68,10
1616391404,358471,1616391404437,1616391404358,79,11
1616391404,860471,1616391404948,1616391404860,88,9
1616391405,362471,1616391405461,1616391405362,99,11
1616391405,864471,1616391405972,1616391405864,108,9
1616391406,366471,1616391406485,1616391406366,119,11
1616391406,868471,1616391406997,1616391406868,129,10
1616391407,371471,1616391407406,1616391407371,35,94
1616391407,873471,1616391407918,1616391407873,45,10
1616391408,375471,1616391408043,1616391408375,0,45
1616391408,877471,1616391408942,1616391408877,65,65
1616391409,379471,1616391409454,1616391409379,75,10
1616391409,881471,1616391409966,1616391409881,85,10
1616391410,383471,1616391410048,1616391410383,0,85
1616391410,885471,1616391410099,1616391410885,0,0
1616391411,387471,1616391411502,1616391411387,115,115
1616391411,889471,1616391412014,1616391411889,125,10
1616391412,390471,1616391412526,1616391412390,136,11
1616391412,892471,1616391412936,1616391412892,44,92
1616391413,394471,1616391413448,1616391413394,54,10
1616391413,896471,1616391413961,1616391413896,65,11
1616391414,398471,1616391414472,1616391414398,74,9
1616391414,900471,1616391414983,1616391414900,83,9
1616391415,402471,1616391415496,1616391415402,94,11
1616391415,904471,1616391416008,1616391415904,104,10
1616391416,406471,1616391416052,1616391416406,0,104
1616391416,908471,1616391417029,1616391416908,121,121
1616391417,409471,1616391417544,1616391417409,135,14
1616391417,911471,1616391417953,1616391417911,42,93
1616391418,413471,1616391418465,1616391418413,52,10
1616391418,915471,1616391418978,1616391418915,63,11
1616391419,417471,1616391419049,1616391419417,0,63
1616391419,919471,1616391420002,1616391419919,83,83
1616391420,421471,1616391420514,1616391420421,93,10
1616391420,923471,1616391421026,1616391420923,103,10
1616391421,425471,1616391421539,1616391421425,114,11
1616391421,927471,1616391422005,1616391421927,78,36
1616391422,430471,1616391422562,1616391422430,132,54
1616391422,932471,1616391422971,1616391422932,39,93
1616391423,434471,1616391423483,1616391423434,49,10
1616391423,936471,1616391423995,1616391423936,59,10
1616391424,438471,1616391424508,1616391424438,70,11
1616391424,940471,1616391425002,1616391424940,62,8
1616391425,442471,1616391425531,1616391425442,89,27
1616391425,944471,1616391426043,1616391425944,99,10
1616391426,446471,1616391426555,1616391426446,109,10
1616391426,948471,1616391427065,1616391426948,117,8
1616391427,450471,1616391427579,1616391427450,129,12
1616391427,952471,1616391427989,1616391427952,37,92
1616391428,454471,1616391428501,1616391428454,47,10
1616391428,956471,1616391429013,1616391428956,57,10
1616391429,458471,1616391429525,1616391429458,67,10
1616391429,960471,1616391430037,1616391429960,77,10
1616391430,462471,1616391430549,1616391430462,87,10
1616391430,964471,1616391431061,1616391430964,97,10
1616391431,466471,1616391431573,1616391431466,107,10
1616391431,968471,1616391432085,1616391431968,117,10
1616391432,470471,1616391432597,1616391432470,127,10
1616391432,972471,1616391433006,1616391432972,34,93
1616391433,474471,1616391433518,1616391433474,44,10
1616391433,976471,1616391434003,1616391433976,27,17
1616391434,478471,1616391434543,1616391434478,65,38
1616391434,980470,1616391435054,1616391434980,74,9
1616391435,482470,1616391435568,1616391435482,86,12
1616391435,984470,1616391436008,1616391435984,24,62
1616391436,486470,1616391436059,1616391436486,0,24
1616391436,988470,1616391437102,1616391436988,114,114
1616391437,490470,1616391437614,1616391437490,124,10
1616391437,991470,1616391438126,1616391437991,135,11
1616391438,493470,1616391438536,1616391438493,43,92
1616391438,995470,1616391439048,1616391438995,53,10
1616391439,497470,1616391439056,1616391439497,0,53
1616391439,999470,1616391440072,1616391439999,73,73
1616391440,501470,1616391440584,1616391440501,83,10
1616391441,3470,1616391441096,1616391441003,93,10
1616391441,505470,1616391441608,1616391441505,103,10
1616391442,7470,1616391442012,1616391442007,5,98
1616391442,509470,1616391442632,1616391442509,123,118
1616391443,10470,1616391443144,1616391443010,134,11
1616391443,512470,1616391443555,1616391443512,43,91
1616391444,14470,1616391444066,1616391444014,52,9
1616391444,516470,1616391444578,1616391444516,62,10
1616391445,18470,1616391445087,1616391445018,69,7
1616391445,520470,1616391445006,1616391445520,0,69
1616391446,22470,1616391446113,1616391446022,91,91
1616391446,524470,1616391446622,1616391446524,98,7
1616391447,26470,1616391447145,1616391447026,119,21
1616391447,528470,1616391447065,1616391447528,0,119
1616391448,30470,1616391448158,1616391448030,128,128
1616391448,532470,1616391448571,1616391448532,39,89
