s,us,chegada,envio,delay_ms,jitter_ms
1616392650,945476,1616392650972,1616392650945,27,0
1616392651,448472,1616392651556,1616392651448,108,81
1616392651,950472,1616392651972,1616392651950,22,86
1616392652,452472,1616392652479,1616392652452,27,5
1616392652,955472,1616392652974,1616392652955,19,8
1616392653,457472,1616392653475,1616392653457,18,1
1616392653,959472,1616392654015,1616392653959,56,38
1616392654,461472,1616392654526,1616392654461,65,9
1616392654,963472,1616392655037,1616392654963,74,9
1616392655,465472,1616392655486,1616392655465,21,53
1616392655,967472,1616392656062,1616392655967,95,74
1616392656,469472,1616392656573,1616392656469,104,9
1616392656,971472,1616392657086,1616392656971,115,11
1616392657,473472,1616392657598,1616392657473,125,10
1616392657,974472,1616392658107,1616392657974,133,8
1616392658,476472,1616392658052,1616392658476,0,133
1616392658,978472,1616392659032,1616392658978,54,54
1616392659,480472,1616392659545,1616392659480,65,11
1616392659,982472,1616392660056,1616392659982,74,9
1616392660,484472,1616392660568,1616392660484,84,10
1616392660,986472,1616392661008,1616392660986,22,62
1616392661,488472,1616392661592,1616392661488,104,82
1616392661,990472,1616392662104,1616392661990,114,10
1616392662,492472,1616392662615,1616392662492,123,9
1616392662,993472,1616392663128,1616392662993,135,12
1616392663,495472,1616392663533,1616392663495,38,97
1616392663,997472,1616392664046,1616392663997,49,11
1616392664,499472,1616392664056,1616392664499,0,49
1616392665,1472,1616392665075,1616392665001,74,74
1616392665,503472,1616392665585,1616392665503,82,8
1616392666,5472,1616392666097,1616392666005,92,10
1616392666,507472,1616392666609,1616392666507,102,10
1616392667,9472,1616392667117,1616392667009,108,6
1616392667,511473,1616392667063,1616392667511,0,108
1616392668,14472,1616392668142,1616392668014,128,128
1616392668,516472,1616392668556,1616392668516,40,88
1616392669,18472,1616392669067,1616392669018,49,9
1616392669,520472,1616392669578,1616392669520,58,9
1616392670,22472,1616392670009,1616392670022,0,58
1616392670,524472,1616392670602,1616392670524,78,78
1616392671,26472,1616392671115,1616392671026,89,11
1616392671,528472,1616392671624,1616392671528,96,7
1616392672,30472,1616392672005,1616392672030,0,96
1616392672,532472,1616392672651,1616392672532,119,119
1616392673,34472,1616392673006,1616392673034,0,119
1616392673,536472,1616392673556,1616392673536,20,20
1616392674,38472,1616392674084,1616392674038,46,26
1616392674,540472,1616392674593,1616392674540,53,7
1616392675,42472,1616392675105,1616392675042,63,10
1616392675,544472,1616392675619,1616392675544,75,12
1616392676,46472,1616392676133,1616392676046,87,12
1616392676,548472,1616392676644,1616392676548,96,9
1616392677,50472,1616392677155,1616392677050,105,9
1616392677,552472,1616392677668,1616392677552,116,11
1616392678,54472,1616392678018,1616392678054,0,116
1616392678,556472,1616392678589,1616392678556,33,33
1616392679,58472,1616392679101,1616392679058,43,10
1616392679,560472,1616392679615,1616392679560,55,12
1616392680,62472,1616392680122,1616392680062,60,5
1616392680,564472,1616392680637,1616392680564,73,13
1616392681,66472,1616392681146,1616392681066,80,7
1616392681,568472,1616392681661,1616392681568,93,13
1616392682,70472,1616392682171,1616392682070,101,8
1616392682,572472,1616392682685,1616392682572,113,12
1616392683,74472,1616392683198,1616392683074,124,11
1616392683,575472,1616392683711,1616392683575,136,12
1616392684,77472,1616392684115,1616392684077,38,98
1616392684,579472,1616392684628,1616392684579,49,11
1616392685,81472,1616392685143,1616392685081,62,13
