s,us,chegada,envio,delay_ms,jitter_ms
1618013255,971000,1618013255973,1618013255971,2,0
1618013255,981000,1618013255984,1618013255981,3,1
1618013255,992000,1618013255993,1618013255992,1,2
1618013256,002000,1618013256004,1618013256002,2,1
1618013256,013000,1618013256014,1618013256013,1,1
1618013256,023000,1618013256024,1618013256023,1,0
1618013256,033000,1618013256036,1618013256033,3,2
1618013256,044000,1618013256046,1618013256044,2,1
1618013256,054000,1618013256056,1618013256054,2,0
1618013256,065000,1618013256067,1618013256065,2,0
1618013256,075000,1618013256077,1618013256075,2,0
1618013256,085000,1618013256087,1618013256085,2,0
1618013256,096000,1618013256099,1618013256096,3,1
1618013256,106000,1618013256108,1618013256106,2,1
1618013256,117000,1618013256119,1618013256117,2,0
1618013256,127000,1618013256129,1618013256127,2,0
1618013256,137000,1618013256139,1618013256137,2,0
1618013256,148000,1618013256184,1618013256148,36,34
1618013256,158000,1618013256185,1618013256158,27,9
1618013256,168000,1618013256185,1618013256168,17,10
1618013256,179000,1618013256185,1618013256179,6,11
1618013256,189000,1618013256230,1618013256189,41,35
1618013256,2000,1618013256230,1618013256200,30,11
1618013256,21000,1618013256230,1618013256210,20,10
1618013256,22000,1618013256231,1618013256220,11,9
1618013256,231000,1618013256232,1618013256231,1,10
1618013256,241000,1618013256243,1618013256241,2,1
1618013256,251000,1618013256288,1618013256251,37,35
1618013256,262000,1618013256289,1618013256262,27,10
1618013256,272000,1618013256289,1618013256272,17,10
1618013256,282000,1618013256289,1618013256282,7,10
1618013256,293000,1618013256332,1618013256293,39,32
1618013256,303000,1618013256333,1618013256303,30,9
1618013256,314000,1618013256333,1618013256314,19,11
1618013256,324000,1618013256333,1618013256324,9,10
1618013256,334000,1618013256374,1618013256334,40,31
1618013256,345000,1618013256374,1618013256345,29,11
1618013256,355000,1618013256374,1618013256355,19,10
1618013256,365000,1618013256374,1618013256365,9,10
1618013256,376000,1618013256420,1618013256376,44,35
1618013256,386000,1618013256421,1618013256386,35,9
1618013256,396000,1618013256422,1618013256396,26,9
1618013256,407000,1618013256422,1618013256407,15,11
1618013256,417000,1618013256468,1618013256417,51,36
1618013256,427000,1618013256469,1618013256427,42,9
1618013256,438000,1618013256470,1618013256438,32,10
1618013256,448000,1618013256470,1618013256448,22,10
1618013256,458000,1618013256470,1618013256458,12,10
1618013256,469000,1618013256512,1618013256469,43,31
1618013256,479000,1618013256514,1618013256479,35,8
