s,us,chegada,envio,delay_ms,jitter_ms
1617670253,4000,1617670253414,1617670253400,14,0
1617670253,405000,1617670253415,1617670253405,10,4
1617670253,409000,1617670253430,1617670253409,21,11
1617670253,41000,1617670253430,1617670253410,20,1
1617670253,413000,1617670253439,1617670253413,26,6
1617670253,415000,1617670253440,1617670253415,25,1
1617670253,418000,1617670253440,1617670253418,22,3
1617670253,421000,1617670253440,1617670253421,19,3
1617670253,428000,1617670253446,1617670253428,18,1
1617670253,43000,1617670253446,1617670253430,16,2
1617670253,432000,1617670253447,1617670253432,15,1
1617670253,434000,1617670253447,1617670253434,13,2
1617670253,435000,1617670253447,1617670253435,12,1
1617670253,437000,1617670253449,1617670253437,12,0
1617670253,439000,1617670253449,1617670253439,10,2
1617670253,441000,1617670253467,1617670253441,26,16
1617670253,443000,1617670253476,1617670253443,33,7
1617670253,444000,1617670253476,1617670253444,32,1
1617670253,446000,1617670253476,1617670253446,30,2
1617670253,448000,1617670253476,1617670253448,28,2
1617670253,45000,1617670253477,1617670253450,27,1
1617670253,451000,1617670253477,1617670253451,26,1
1617670253,454000,1617670253477,1617670253454,23,3
1617670253,457000,1617670253477,1617670253457,20,3
1617670253,452000,1617670253477,1617670253452,25,5
1617670253,459000,1617670253478,1617670253459,19,6
1617670253,461000,1617670253478,1617670253461,17,2
1617670253,463000,1617670253479,1617670253463,16,1
1617670253,465000,1617670253479,1617670253465,14,2
1617670253,467000,1617670253480,1617670253467,13,1
1617670253,469000,1617670253518,1617670253469,49,36
1617670253,47000,1617670253518,1617670253470,48,1
1617670253,472000,1617670253518,1617670253472,46,2
1617670253,474000,1617670253518,1617670253474,44,2
1617670253,475000,1617670253519,1617670253475,44,0
1617670253,477000,1617670253519,1617670253477,42,2
1617670253,479000,1617670253562,1617670253479,83,41
1617670253,558000,1617670253564,1617670253558,6,77
1617670253,561000,1617670253589,1617670253561,28,22
1617670253,564000,1617670253589,1617670253564,25,3
1617670253,566000,1617670253590,1617670253566,24,1
1617670253,567000,1617670253590,1617670253567,23,1
