id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.1,95,0,0,0,1611177279,566070,1611177279566,1611177279701,135,0
1,29.1,95,0,0,0,1611177298,111071,1611177298111,1611177298230,119,16
2,29.1,95,0,0,0,1611177316,656069,1611177316656,1611177316759,103,16
3,29,95,0,0,0,1611177335,201069,1611177335201,1611177335296,95,8
4,29,95,0,0,0,1611177353,746069,1611177353746,1611177353830,84,11
5,29,95,0,0,0,1611177372,291068,1611177372291,1611177372467,176,92
6,29,95,0,0,0,1611177390,836068,1611177390836,1611177391001,165,11
7,29,95,0,0,0,1611177409,382068,1611177409382,1611177409545,163,2
8,29,95,0,0,0,1611177427,927067,1611177427927,1611177428069,142,21
9,29,95,0,0,0,1611177446,472067,1611177446472,1611177446603,131,11
10,29,95,0,0,0,1611177465,18066,1611177465018,1611177465138,120,11
11,29,95,0,0,0,1611177483,563066,1611177483563,1611177483677,114,6
12,29,95,0,0,0,1611177502,108066,1611177502108,1611177502206,98,16
13,29,95,0,0,0,1611177520,653065,1611177520653,1611177520741,88,10
14,29,95,0,0,0,1611177539,198065,1611177539198,1611177539274,76,12
