exp2/qos0_0b0ms_1.csv: 49712/49712, 0.96 ms
exp2/qos0_0b0ms_2.csv: 50346/50346, 0.89 ms
exp2/qos0_0b0ms_3.csv: 50312/50312, 0.88 ms
exp2/qos0_0b20ms_1.csv: 2935/2935, 2.42 ms
exp2/qos0_0b20ms_2.csv: 2934/2934, 2.27 ms
exp2/qos0_0b20ms_3.csv: 2934/2934, 2.27 ms
exp2/qos0_0b40ms_1.csv: 1483/1483, 2.38 ms
exp2/qos0_0b40ms_2.csv: 1483/1483, 2.39 ms
exp2/qos0_0b40ms_3.csv: 1484/1484, 2.38 ms
exp2/qos0_0b60ms_1.csv: 993/993, 2.91 ms
exp2/qos0_0b60ms_2.csv: 993/993, 2.67 ms
exp2/qos0_0b60ms_3.csv: 993/993, 2.53 ms
exp2/qos0_0b80ms_1.csv: 746/746, 2.53 ms
exp2/qos0_0b80ms_2.csv: 746/746, 2.62 ms
exp2/qos0_0b80ms_3.csv: 746/746, 2.57 ms
exp2/qos0_0b100ms_1.csv: 598/598, 2.56 ms
exp2/qos0_0b100ms_2.csv: 598/598, 2.56 ms
exp2/qos0_0b100ms_3.csv: 598/598, 2.56 ms
exp2/qos1_0b0ms_1.csv: 52959/52959, 1.15 ms
exp2/qos1_0b0ms_2.csv: 52999/52999, 1.13 ms
exp2/qos1_0b0ms_3.csv: 53077/53077, 1.17 ms
exp2/qos1_0b20ms_1.csv: 2954/2954, 2.57 ms
exp2/qos1_0b20ms_2.csv: 2952/2952, 2.34 ms
exp2/qos1_0b20ms_3.csv: 2953/2953, 2.36 ms
exp2/qos1_0b40ms_1.csv: 1489/1489, 2.52 ms
exp2/qos1_0b40ms_2.csv: 1488/1488, 2.46 ms
exp2/qos1_0b40ms_3.csv: 1489/1489, 2.50 ms
exp2/qos1_0b60ms_1.csv: 995/995, 2.68 ms
exp2/qos1_0b60ms_2.csv: 995/995, 2.66 ms
exp2/qos1_0b60ms_3.csv: 995/995, 2.70 ms
exp2/qos1_0b80ms_1.csv: 748/748, 2.73 ms
exp2/qos1_0b80ms_2.csv: 748/748, 2.72 ms
exp2/qos1_0b80ms_3.csv: 748/748, 2.72 ms
exp2/qos1_0b100ms_1.csv: 599/599, 2.71 ms
exp2/qos1_0b100ms_2.csv: 599/599, 2.71 ms
exp2/qos1_0b100ms_3.csv: 599/599, 2.74 ms
exp2/qos2_0b0ms_1.csv: 50168/50168, 0.86 ms
exp2/qos2_0b0ms_2.csv: 49910/49910, 0.89 ms
exp2/qos2_0b0ms_3.csv: 50171/50171, 0.87 ms
exp2/qos2_0b20ms_1.csv: 2932/2932, 2.52 ms
exp2/qos2_0b20ms_2.csv: 2931/2931, 2.33 ms
exp2/qos2_0b20ms_3.csv: 2931/2931, 2.24 ms
exp2/qos2_0b40ms_1.csv: 1482/1482, 2.38 ms
exp2/qos2_0b40ms_2.csv: 1482/1482, 2.77 ms
exp2/qos2_0b40ms_3.csv: 1482/1482, 2.53 ms
exp2/qos2_0b60ms_1.csv: 992/992, 2.63 ms
exp2/qos2_0b60ms_2.csv: 992/992, 2.59 ms
